,osm_way_id,speed_mph_mean
0,73,11.930791666666666
1,74,16.692333333333334
2,75,18.935645833333332
3,79,23.744450074515647
4,197,33.94175
5,199,24.704530303030303
6,482,28.221093749999998
7,490,18.825039999999998
8,491,22.010666666666665
9,546,25.375541666666667
10,548,34.800916666666666
11,1200,21.612322916666667
12,1201,10.132166666666667
13,1202,39.13625
14,1203,35.245333333333335
15,1208,24.8749375
16,1210,26.48835956790123
17,1212,21.106291666666667
18,1213,21.439885416666666
19,1214,25.590859722222223
20,1215,25.796875
21,1216,20.22125
22,1217,29.823673913043482
23,1218,16.254266666666666
24,1219,23.6075
25,1220,24.79946153846154
26,1222,20.419076190476193
27,1224,22.907
28,1301,13.512933333333333
29,1512,14.692307692307692
30,1519,12.005333333333333
31,1525,13.260545454545456
32,1533,15.357283582089554
33,1536,13.198166666666665
34,1551,17.6998085106383
35,1552,14.7972
36,1557,12.656833333333333
37,1563,14.484467741935484
38,1644,16.070880952380953
39,1649,23.985333333333333
40,1651,20.247153846153847
41,1652,17.62925
42,1654,22.808349246231156
43,1698,20.811375
44,1699,19.808333333333334
45,1700,22.88988541666667
46,1701,19.019635416666667
47,1702,18.781166666666667
48,1826,15.916222222222224
49,1829,12.704714285714285
50,1835,22.063819444444444
51,1836,17.91906597222222
52,1837,16.9275
53,1840,24.255041666666667
54,1847,18.6716
55,1954,15.400428571428572
56,1955,22.883853658536584
57,1959,25.647232804232804
58,1961,27.8671875
59,1965,15.1053
60,2126,31.81288383838384
61,2127,28.32042857142857
62,2133,39.14425
63,2194,25.088125
64,2197,27.405666666666665
65,2198,28.262124999999997
66,2199,21.62576388888889
67,2200,28.977625
68,2201,41.088778947368425
69,2203,35.128750000000004
70,2207,24.79516666666667
71,2208,28.786270833333333
72,2209,27.94671990740741
73,2210,25.69484375
74,2211,19.831868055555557
75,2212,29.454239583333333
76,2213,14.946569892473118
77,2738,40.791333333333334
78,2763,24.811104166666667
79,2764,17.762822916666668
80,2766,28.067604166666666
81,2767,16.742399999999996
82,2769,10.642714285714286
83,2785,41.038041666666665
84,2786,33.21752380952381
85,2790,16.34325
86,2842,61.46641666666667
87,2843,58.4125
88,2844,53.50208695652174
89,2845,64.75529166666666
90,2869,18.491854166666666
91,2870,15.767142857142858
92,2931,13.60315
93,2932,15.085326315789473
94,2935,12.047131578947369
95,2946,14.425803921568628
96,2947,12.49972972972973
97,2948,14.69816129032258
98,2952,12.87421052631579
99,2955,12.819545454545453
100,2957,12.943705882352942
101,2960,10.322
102,2961,20.436375
103,2962,13.161339130434783
104,2964,13.020931034482757
105,2965,13.513666666666667
106,2967,9.437
107,3028,18.213651162790697
108,3032,21.395041666666668
109,3045,13.560304347826087
110,3262,19.732041666666667
111,3263,11.01765909090909
112,3335,6.909
113,25486,16.761041666666667
114,25487,20.86342670157068
115,26428,12.853
116,26430,17.205458333333333
117,26431,20.40727083333333
118,26783,17.546
119,30903,18.904380952380954
120,31030,12.426885416666666
121,31039,14.440666666666667
122,31959,16.932645833333332
123,32038,18.52898913043478
124,35607,31.560869565217388
125,35608,30.8532
126,37218,25.265610677083334
127,37398,26.932742424242424
128,37405,30.622589743589742
129,45668,27.022750000000002
130,49829,35.67154166666666
131,49830,28.77775
132,50150,48.266333333333336
133,50151,36.571333333333335
134,50152,48.89525
135,50153,39.259625
136,50520,32.24183333333333
137,50521,32.69473333333333
138,50522,25.538576388888888
139,50523,23.853395833333334
140,50525,19.226583333333334
141,50526,20.674819444444445
142,76914,25.708733333333335
143,101500,37.183375
144,101596,27.271
145,131631,59.98141666666667
146,156710,18.464644444444446
147,214646,12.215880597014927
148,214647,13.565423076923079
149,223085,22.562092592592595
150,256355,14.979520833333332
151,256356,22.579895833333335
152,256357,19.36431081081081
153,260048,16.728916666666667
154,271623,17.748894736842104
155,272999,23.226578947368424
156,273002,17.490384615384617
157,276835,15.148333333333333
158,276837,3.6275
159,276838,13.188916666666666
160,276839,16.199239583333334
161,276841,25.164381944444443
162,276845,11.7735
163,276846,12.685863636363637
164,276847,15.66056
165,276848,16.399142857142856
166,276850,19.090265060240963
167,276851,15.161333333333332
168,276856,15.074
169,276857,5.1865000000000006
170,276858,14.676408695652174
171,290616,22.10686046511628
172,297179,35.92565853658537
173,297343,29.330361111111113
174,297344,31.169666666666668
175,298593,11.8453
176,298609,12.693492307692308
177,302442,28.94121875
178,326865,15.945
179,329019,15.277958333333332
180,329137,17.089552083333334
181,329419,22.259697916666667
182,329521,13.008041666666665
183,329553,19.666798611111112
184,330341,18.31952777777778
185,330437,15.394770833333332
186,330481,17.228125000000002
187,331357,19.257875000000002
188,331680,19.155354166666665
189,336150,13.963
190,343709,35.700541666666666
191,344304,31.631333333333334
192,352640,26.509923611111113
193,352641,19.613916666666665
194,352642,15.789
195,361349,13.636083333333334
196,361351,15.294652173913043
197,367456,18.308699999999998
198,367458,18.29133653846154
199,367868,11.961
200,367923,20.77701550387597
201,367924,20.493291666666668
202,367925,24.589714285714287
203,367926,23.893727272727276
204,367927,21.059625
205,367928,25.075097222222222
206,367931,28.361770833333335
207,367933,19.360208333333333
208,367934,34.14134523809524
209,367935,25.50075
210,367936,13.190708333333333
211,367991,8.34825
212,375936,19.164595505617978
213,377873,17.738851449275362
214,378645,13.429666666666668
215,378646,34.83745833333333
216,517668,12.5835
217,554369,16.575710937500002
218,554526,15.68831597222222
219,640773,24.493649305555557
220,641066,4.462
221,644250,27.651916666666665
222,644251,42.99397916666666
223,644252,50.519666666666666
224,644659,15.420411255411254
225,644733,56.33916666666667
